,0,1,2,3,4,5,6,7,8,9,10
66,np_acosh,2,3,2,1,1,500,304,0,0,0
67,np_acosh,2,3,3,1,1,500,306,0,0,0
68,np_acosh,3,1,1,1,1,500,0,0,0,0
69,np_acosh,3,1,1,1,2,500,0,0,0,0
70,np_acos,2,1,2,1,1,500,500,0,0,0
71,np_acos,2,1,3,1,1,500,500,0,0,0
72,np_acos,2,2,1,1,1,500,500,0,0,0
73,np_acos,2,2,2,1,1,500,500,0,0,0
74,np_acos,2,2,3,1,1,500,500,0,0,0
75,np_acos,2,3,1,1,1,500,500,0,0,0
76,np_acos,2,3,2,1,1,500,500,0,0,0
77,np_acos,2,3,3,1,1,500,500,0,0,0
78,np_acos,3,1,1,1,1,500,499,0,0,0
79,np_acos,3,1,1,1,2,500,500,0,0,0
80,np_asinh,2,1,2,1,1,500,500,499,498,162
81,np_asinh,2,1,3,1,1,500,500,500,500,145
82,np_asinh,2,2,1,1,1,500,415,0,0,0
83,np_asinh,2,2,2,1,1,500,500,487,483,116
84,np_asinh,2,2,3,1,1,500,500,487,487,114
85,np_asinh,2,3,1,1,1,500,405,0,0,0
86,np_asinh,2,3,2,1,1,500,500,475,471,103
87,np_asinh,2,3,3,1,1,500,500,480,480,97
88,np_asinh,3,1,1,1,1,500,500,284,283,99
89,np_asinh,3,1,1,1,2,500,423,52,52,45
90,np_asin,2,1,2,1,1,500,500,0,0,0
91,np_asin,2,1,3,1,1,500,500,0,0,0
92,np_asin,2,2,1,1,1,500,498,0,0,0
93,np_asin,2,2,2,1,1,500,500,0,0,0
94,np_asin,2,2,3,1,1,500,500,0,0,0
95,np_asin,2,3,1,1,1,500,499,0,0,0
96,np_asin,2,3,2,1,1,500,500,0,0,0
97,np_asin,2,3,3,1,1,500,500,0,0,0
98,np_asin,3,1,1,1,1,500,500,0,0,0
99,np_asin,3,1,1,1,2,500,500,0,0,0
100,np_atan2,2,1,2,1,1,500,500,499,499,369
101,np_atan2,2,1,3,1,1,500,500,498,498,368
102,np_atan2,2,2,1,1,1,500,494,117,117,26
103,np_atan2,2,2,2,1,1,500,500,487,487,342
104,np_atan2,2,2,3,1,1,500,500,490,490,321
105,np_atan2,2,3,1,1,1,500,492,147,147,17
106,np_atan2,2,3,2,1,1,500,500,495,495,320
107,np_atan2,2,3,3,1,1,500,500,487,487,348
108,np_atan2,3,1,1,1,1,500,500,346,346,293
109,np_atan2,3,1,1,1,2,500,497,148,148,126
110,np_atanh,2,1,2,1,1,500,500,0,0,0
111,np_atanh,2,1,3,1,1,500,500,0,0,0
112,np_atanh,2,2,1,1,1,500,500,0,0,0
113,np_atanh,2,2,2,1,1,500,500,0,0,0
114,np_atanh,2,2,3,1,1,500,500,0,0,0
115,np_atanh,2,3,1,1,1,500,499,0,0,0
116,np_atanh,2,3,2,1,1,500,500,0,0,0
117,np_atanh,2,3,3,1,1,500,500,0,0,0
118,np_atanh,3,1,1,1,1,500,500,0,0,0
119,np_atanh,3,1,1,1,2,500,500,0,0,0
120,np_atan,2,1,2,1,1,500,500,499,499,135
121,np_atan,2,1,3,1,1,500,500,498,498,149
122,np_atan,2,2,1,1,1,500,496,395,327,16
123,np_atan,2,2,2,1,1,500,500,492,486,119
124,np_atan,2,2,3,1,1,500,500,491,491,125
125,np_atan,2,3,1,1,1,500,497,392,331,18
126,np_atan,2,3,2,1,1,500,500,492,492,110
127,np_atan,2,3,3,1,1,500,500,493,492,99
128,np_atan,3,1,1,1,1,500,500,395,395,94
129,np_atan,3,1,1,1,2,500,500,141,141,61
130,np_ceil,2,1,2,1,1,500,500,499,498,158
131,np_ceil,2,1,3,1,1,500,500,499,499,178
132,np_ceil,2,2,1,1,1,500,0,0,0,0
133,np_ceil,2,2,2,1,1,500,500,454,451,134
134,np_ceil,2,2,3,1,1,500,500,456,450,132
135,np_ceil,2,3,1,1,1,500,0,0,0,0
136,np_ceil,2,3,2,1,1,500,500,449,447,99
137,np_ceil,2,3,3,1,1,500,500,444,443,102
138,np_ceil,3,1,1,1,1,500,179,37,37,28
139,np_ceil,3,1,1,1,2,500,7,0,0,0
140,np_cosh,2,1,2,1,1,500,500,498,497,181
141,np_cosh,2,1,3,1,1,500,500,499,498,161
142,np_cosh,2,2,1,1,1,500,0,0,0,0
143,np_cosh,2,2,2,1,1,500,500,472,468,163
144,np_cosh,2,2,3,1,1,500,500,472,471,141
145,np_cosh,2,3,1,1,1,500,0,0,0,0
146,np_cosh,2,3,2,1,1,500,500,468,465,143
147,np_cosh,2,3,3,1,1,500,500,465,464,145
148,np_cosh,3,1,1,1,1,500,74,51,51,31
149,np_cosh,3,1,1,1,2,500,0,0,0,0
150,np_cos,2,1,2,1,1,500,500,500,499,106
151,np_cos,2,1,3,1,1,500,500,500,499,113
152,np_cos,2,2,1,1,1,500,0,0,0,0
153,np_cos,2,2,2,1,1,500,500,500,500,90
154,np_cos,2,2,3,1,1,500,500,500,497,92
155,np_cos,2,3,1,1,1,500,0,0,0,0
156,np_cos,2,3,2,1,1,500,500,499,492,92
157,np_cos,2,3,3,1,1,500,500,500,499,97
158,np_cos,3,1,1,1,1,500,500,491,491,125
159,np_cos,3,1,1,1,2,500,497,415,415,111
