3_2_1_1_1_2,,,,,,,,,,,,,,,,,0.0
3_2_3_2_1_1,,,,,,,,,,,,,,,,,0.0
3_2_2_3_1_1,,,,,,,,,,,,,,,,,0.0
3_2_1_3_1_1,,,,,,,,,,,,,,,,,0.0
3_3_1_1_1_1,,,,,,,,,,,,,,,,,0.0
3_2_3_1_1_1,,,,,,,,,,,,,,,,,0.0
3_2_1_1_1_1,,,,,,,,,,,,,,,,,0.0
3_2_2_2_1_1,,,,,,,,,,,,,,,,,0.0
3_2_3_3_1_1,,,,,,,,,,,,,,,,,0.0
2_3_1_1_1_1,,,,,,,,,,,,,,,,,0.0
2_2_1_2_1_1,,,,,,,,,,,,,,,,,0.0
2_2_3_2_1_1,,,,,,,,,,,,,,,,,0.0
2_2_3_3_1_1,,,,,,,,,,,,,,,,,0.0
2_2_2_1_1_1,,,,,,,,,,,,,,,,,0.0
2_2_3_1_1_1,,,,,,,,,,,,,,,,,0.0
2_3_1_1_1_2,,,,,,,,,,,,,,,,,0.0
2_2_2_3_1_1,,,,,,,,,,,,,,,,,0.0
2_2_2_2_1_1,,,,,,,,,,,,,,,,,0.0
2_2_1_1_1_2,,,,,,,,,,,,,,,,,0.0
2_2_1_1_1_1,,,,,,,,,,,,,,,,,0.0
2_2_1_1_1_3,,,,,,,,,,,,,,,,,0.0
2_2_1_3_1_1,,,,,,,,,,,,,,,,,0.0
4_3_1_1_1_2,,,,,,,,,,,,,,,,,0.0
4_2_2_1_1_1,,,,,,,,,,,,,,,,,0.0
4_2_1_1_1_1,,,,,,,,,,,,,,,,,0.0
4_2_1_3_1_1,,,,,,,,,,,,,,,,,0.0
4_2_1_2_1_1,,,,,,,,,,,,,,,,,0.0
4_2_3_3_1_1,,,,,,,,,,,,,,,,,0.0
4_2_1_1_1_3,,,,,,,,,,,,,,,,,0.0
4_2_2_3_1_1,,,,,,,,,,,,,,,,,0.0
4_2_2_2_1_1,,,,,,,,,,,,,,,,,0.0
4_2_1_1_1_2,,,,,,,,,,,,,,,,,0.0
4_2_3_2_1_1,,,,,,,,,,,,,,,,,0.0
4_2_3_1_1_1,,,,,,,,,,,,,,,,,0.0
4_3_1_1_1_1,,,,,,,,,,,,,,,,,0.0
7_2_1_1_1_1,,,,,,,,,,,,,,,,,5.73
7_2_3_1_1_1,,,,,,,,,,,,,,,,,788.84
7_2_2_3_1_1,,,,,,,,,,,,,,,,,2764.43
7_2_3_2_1_1,,,,,,,,,,,,,,,,,2763.17
7_2_2_2_1_1,,,,,,,,,,,,,,,,,2764.14
7_2_2_1_1_1,,,,,,,,,,,,,,,,,782.89
7_2_1_1_1_3,,,,,,,,,,,,,,,,,0.76
7_2_1_3_1_1,,,,,,,,,,,,,,,,,15.84
7_3_1_1_1_1,,,,,,,,,,,,,,,,,14.09
7_2_1_1_1_2,,,,,,,,,,,,,,,,,2.68
7_2_1_2_1_1,,,,,,,,,,,,,,,,,15.81
7_3_1_1_1_2,,,,,,,,,,,,,,,,,0.76
7_2_3_3_1_1,,,,,,,,,,,,,,,,,2784.07
7_x_1_1_x_x,,,,,,,,,,,,,,,,,4.51
